# Units: length:mm angle:deg time:s strain:% force:N 
# Stage: Stufe 501
stage;index;relative_time;date
"Stufe 501";501;144.1519;"2024-01-29T11:38:39.595"
# Name : Cetex-0°-1_Origin
force;untransformed;transformed
8027.1971;8027.1971;8027.1971
# Name : Flächenkomponente 1
id;x;y;z
0;20.7663;148.4019;-0.1664
1;21.3994;147.0116;-0.1714
2;21.3974;145.4431;-0.1603
3;21.3977;143.8763;-0.1594
4;21.3956;142.3072;-0.1565
5;21.3969;140.7421;-0.1525
6;21.3960;139.1721;-0.1555
7;21.3947;137.6056;-0.1484
8;21.3953;136.0382;-0.1460
9;21.3948;134.4723;-0.1440
10;21.3943;132.9043;-0.1375
11;21.3944;131.3375;-0.1337
12;21.3942;129.7704;-0.1295
13;21.3955;128.2031;-0.1356
14;21.3957;126.6363;-0.1336
15;21.3968;125.0690;-0.1254
16;21.3962;123.5017;-0.1260
17;21.3971;121.9325;-0.1276
18;21.3988;120.3635;-0.1204
19;21.3987;118.7999;-0.1192
20;21.3993;117.2290;-0.1150
21;21.4001;115.6595;-0.1118
22;21.4008;114.0937;-0.1109
23;21.4018;112.5260;-0.1110
24;21.4042;110.9577;-0.1029
25;21.4049;109.3912;-0.1026
26;21.4070;107.8243;-0.1028
27;21.4093;106.2556;-0.1046
28;21.4097;104.6890;-0.1022
29;21.4129;103.1208;-0.1030
30;21.4154;101.5534;-0.0994
31;21.4171;99.9851;-0.0983
32;21.4203;98.4175;-0.0981
33;21.4223;96.8499;-0.0969
34;21.4230;95.2822;-0.0905
35;21.4263;93.7152;-0.0918
36;21.4289;92.1476;-0.0910
37;21.4303;90.5795;-0.0870
38;21.4331;89.0117;-0.0830
39;21.4364;87.4432;-0.0854
40;21.4390;85.8733;-0.0842
41;21.4409;84.3061;-0.0809
42;21.4463;82.7368;-0.0818
43;21.4479;81.1702;-0.0744
44;21.4526;79.6009;-0.0788
45;21.4548;78.0326;-0.0731
46;21.4591;76.4639;-0.0754
47;21.4628;74.8957;-0.0705
48;21.4669;73.3269;-0.0745
49;21.4681;71.7609;-0.0678
50;21.4707;70.1920;-0.0618
51;21.4757;68.6228;-0.0661
