# Units: length:mm angle:deg time:s force:N 
# Stage: Stufe 244
stage;index;relative_time;date
"Stufe 244";244;210.6409;"2024-01-29T15:37:48.960"
# Name : Analogeingang 0
force;untransformed;transformed
2873.4226;0.9578;2873.4226
# Name : Flächenkomponente 3
id;x;y;z
0;0.8954;15.8684;0.6818
1;2.2154;16.5479;0.7230
2;3.7787;16.1719;0.7273
3;4.9710;15.0443;0.7056
4;6.1410;13.8286;0.6582
5;7.5415;12.8238;0.5983
6;9.0864;12.7416;0.5523
7;10.3336;13.6221;0.5077
8;11.4538;14.6995;0.4722
9;12.7990;15.4655;0.4290
10;14.4070;15.5081;0.4053
12;15.3740;12.9890;0.4040
13;15.3575;11.4087;0.4278
14;15.3426;9.8284;0.4562
15;15.3319;8.2511;0.4817
16;15.3232;6.6708;0.4895
17;15.3119;5.0893;0.5037
18;15.3044;3.5088;0.5067
19;15.2892;1.9271;0.5373
20;15.2791;0.3474;0.5526
21;15.1175;-1.2146;0.5549
22;13.6938;-1.5070;0.5638
23;12.0710;-1.3631;0.5761
24;10.7977;-0.3149;0.5695
25;9.6764;0.9242;0.5419
26;8.3638;1.9441;0.5080
27;6.7590;2.3711;0.4575
28;5.4972;1.5487;0.3868
29;4.3146;0.5809;0.3156
30;2.9658;-0.1445;0.2514
31;1.3578;-0.2069;0.1868
32;-0.0872;0.3064;0.1709
33;-0.2058;1.7784;0.2322
34;-0.0830;3.3457;0.2990
35;0.0384;4.9125;0.3584
36;0.1622;6.4765;0.4126
37;0.2841;8.0421;0.4588
38;0.4073;9.6058;0.5046
39;0.5292;11.1714;0.5514
40;0.6521;12.7381;0.5929
41;0.7765;14.3019;0.6391
42;2.5742;15.3584;0.6896
43;12.6094;14.1516;0.4440
44;13.9011;14.2761;0.4059
45;1.8578;14.2000;0.6463
46;3.4782;14.2428;0.6623
47;4.8217;13.7516;0.6416
48;11.6076;13.1049;0.4741
49;13.0729;12.9233;0.4466
50;14.4234;12.9674;0.4196
51;2.4960;12.9134;0.6054
52;4.0958;12.6912;0.6076
53;5.7764;12.4724;0.6014
54;7.2258;11.7918;0.5735
55;8.8116;11.6653;0.5475
56;10.5263;11.9587;0.5115
57;12.1634;11.7205;0.4721
58;13.7438;11.6674;0.4464
59;1.9188;11.6083;0.5667
60;3.4045;11.4851;0.5695
61;4.9627;11.3141;0.5701
62;6.4916;10.9273;0.5651
63;8.1602;10.5746;0.5361
64;9.8159;10.5341;0.5077
65;11.3403;10.4809;0.4980
66;12.8547;10.3647;0.4737
67;14.1949;10.4089;0.4608
68;1.4955;10.2105;0.5288
69;2.7638;10.1592;0.5369
70;4.2254;10.0660;0.5377
71;5.7556;9.8405;0.5344
72;7.3594;9.5361;0.5338
73;9.0018;9.2818;0.5268
74;10.5994;9.1532;0.5088
75;12.1773;9.0694;0.4934
76;13.8010;9.0142;0.4794
77;1.8051;8.7960;0.4993
78;3.3974;8.7760;0.5054
79;4.9656;8.6449;0.5125
80;6.5545;8.4158;0.5245
81;8.1632;8.1131;0.5155
82;9.7648;7.8861;0.5056
83;11.3398;7.7637;0.4998
84;12.8562;7.6714;0.4987
85;14.1968;7.6078;0.4966
86;1.3249;7.3303;0.4539
87;2.6858;7.4495;0.4725
88;4.1851;7.3848;0.4772
89;5.7478;7.2274;0.4869
90;7.3350;6.9531;0.5025
91;8.9358;6.6646;0.4977
92;10.5354;6.4846;0.5047
93;12.1255;6.3703;0.5011
94;13.7477;6.2188;0.4978
95;1.8089;6.1021;0.4163
96;3.3604;6.0798;0.4506
97;4.9109;5.9946;0.4563
98;6.4937;5.8076;0.4663
99;8.0985;5.4863;0.4980
100;9.6987;5.2320;0.5010
101;11.2620;5.0816;0.5106
102;12.7588;4.9876;0.5075
103;14.1136;4.7426;0.5074
104;1.0656;4.8612;0.3707
105;2.5696;4.7889;0.3913
106;4.1083;4.6877;0.4128
107;5.6127;4.6186;0.4376
108;7.1957;4.4149;0.4765
109;8.8726;4.0466;0.5092
110;10.4543;3.8004;0.5116
111;12.0239;3.6954;0.5238
112;13.5476;3.6053;0.5204
113;1.6363;3.5931;0.3450
114;3.2557;3.4591;0.3679
115;4.8219;3.2254;0.4014
116;6.1892;3.3093;0.4361
117;7.8824;3.1621;0.5015
118;9.6294;2.5408;0.5149
119;11.2524;2.4403;0.5270
120;12.7209;2.3070;0.5322
121;14.1076;2.4634;0.5294
122;1.0170;2.3917;0.2826
123;2.4016;2.3018;0.3190
124;3.9743;2.0779;0.3512
125;10.7966;1.1687;0.5447
126;12.0874;0.9756;0.5390
127;13.7524;1.0760;0.5322
128;1.3910;1.0375;0.2415
129;2.8919;1.1114;0.2877
130;12.6428;-0.2067;0.5574
131;14.0579;-0.2468;0.5494
