# Units: length:mm angle:deg time:s force:N 
# Stage: Stufe 694
stage;index;relative_time;date
"Stufe 694";694;255.5726;"2024-02-28T14:52:42.900"
# Name : Analogeingang 0
force;untransformed;transformed
339.2239;0.3392;339.2239
# Name : Flächenkomponente 3
id;x;y;z
0;9.4373;13.6683;0.0741
1;9.7129;13.6940;0.0415
2;9.9863;13.6915;0.0008
3;10.2611;13.6954;-0.0572
4;10.5338;13.7041;-0.1210
5;10.7978;13.7166;-0.1826
6;11.0712;13.7189;-0.2161
7;11.3336;13.7057;-0.1969
8;11.3343;13.4421;-0.1474
11;11.3221;12.6215;-0.0879
12;11.3182;12.3491;-0.0658
14;11.3261;11.8037;-0.0930
15;11.3252;11.5316;-0.0866
16;11.3278;11.2621;-0.0921
17;11.3255;10.9939;-0.0752
75;11.1199;-4.5249;-0.1266
76;10.8629;-4.5188;-0.2500
77;10.5935;-4.5164;-0.2771
78;10.3222;-4.5061;-0.2714
79;10.0538;-4.4885;-0.2466
80;9.8022;-4.4662;-0.1799
88;7.9544;-3.2894;-0.1406
96;6.4297;-1.2393;0.1807
97;6.2858;-1.0004;0.2114
102;4.7121;1.4768;0.3300
103;4.5113;1.6626;0.4493
108;3.7613;1.4941;0.5310
109;3.5628;1.3535;0.5017
110;3.3828;1.1990;0.4369
111;3.2241;1.0431;0.3438
112;3.0656;0.9024;0.2414
113;2.9017;0.7920;0.1607
114;2.7238;0.6808;0.1436
115;2.5341;0.5640;0.1612
116;2.3418;0.4462;0.1866
117;2.1393;0.3114;0.2303
118;1.9419;0.1678;0.2805
119;1.7404;0.0362;0.3349
120;1.5326;-0.0681;0.3917
122;1.0203;-0.1745;0.2498
123;0.7850;-0.1724;0.2359
124;0.5168;-0.1854;0.2277
126;0.4094;0.2137;0.2872
127;0.3882;0.4877;0.2461
128;0.3888;0.7531;0.2481
129;0.3847;1.0117;0.2237
130;0.3879;1.2680;0.1874
131;0.3933;1.5376;0.1795
132;0.3948;1.8064;0.1766
133;0.3947;2.0758;0.1776
134;0.3959;2.3468;0.1722
135;0.3978;2.6176;0.1729
136;0.4023;2.8863;0.1649
137;0.4062;3.1571;0.1686
138;0.4071;3.4287;0.1660
139;0.4056;3.6967;0.1566
140;0.4069;3.9672;0.1582
141;0.4114;4.2367;0.1517
142;0.4116;4.5068;0.1503
143;0.4131;4.7775;0.1456
144;0.4151;5.0471;0.1397
145;0.4135;5.3174;0.1403
146;0.4171;5.5860;0.1363
147;0.4205;5.8550;0.1368
148;0.4182;6.1252;0.1362
149;0.4196;6.3945;0.1360
150;0.4208;6.6642;0.1341
151;0.4221;6.9329;0.1351
152;0.4230;7.2024;0.1353
153;0.4207;7.4720;0.1361
154;0.4228;7.7426;0.1371
155;0.4220;8.0124;0.1359
156;0.4225;8.2811;0.1376
157;0.4215;8.5527;0.1495
158;0.4188;8.8240;0.1554
159;0.4188;9.0925;0.1605
160;0.4182;9.3625;0.1615
161;0.4228;9.6314;0.1431
162;0.4258;9.9006;0.1365
163;0.4281;10.1702;0.1313
164;0.4282;10.4416;0.1291
165;0.4303;10.7099;0.1210
166;0.4331;10.9781;0.1211
167;0.4331;11.2488;0.1203
168;0.4314;11.5195;0.1158
169;0.4275;11.7890;0.1220
170;0.4336;12.0609;0.1178
171;0.4339;12.3305;0.1074
172;0.4341;12.6000;0.1138
173;0.4367;12.8700;0.1195
174;0.4372;13.1394;0.1211
175;0.4359;13.4104;0.1165
176;0.4393;13.6798;0.1176
177;0.4410;13.9490;0.1179
178;0.4384;14.2191;0.1287
179;0.4387;14.4897;0.1214
180;0.4376;14.7601;0.1217
181;0.4371;15.0304;0.1071
182;0.4357;15.3008;0.1101
183;0.4386;15.5694;0.1148
184;0.4391;15.8398;0.1215
185;0.4375;16.1084;0.1223
186;0.4365;16.3825;0.1194
187;0.4387;16.6513;0.1144
188;0.4436;16.9204;0.1124
189;0.4425;17.1926;0.1092
190;0.4478;17.4614;0.1033
191;0.4519;17.7325;0.1027
192;0.5211;17.9575;0.0980
193;0.7933;17.9386;0.0915
200;2.3659;16.9470;0.0244
201;2.5608;16.7174;0.0197
202;2.7520;16.4899;0.0128
203;2.9461;16.2725;0.0088
204;3.1374;16.0582;0.0072
205;3.3292;15.8463;0.0088
206;3.5215;15.6397;0.0105
207;3.7144;15.4209;0.0174
208;3.9066;15.1744;0.0250
213;5.6752;12.5861;0.4107
214;5.7943;12.3259;0.4329
215;5.9487;12.1079;0.4732
216;6.1249;11.9216;0.5243
217;6.3342;11.7952;0.5672
218;6.5525;11.6836;0.6268
225;7.4454;12.3587;0.0069
226;7.6244;12.4900;-0.0326
227;7.8075;12.6265;-0.0492
228;7.9985;12.7681;-0.0706
229;8.1957;12.9085;-0.0856
230;8.3953;13.0538;-0.0886
231;8.5995;13.1946;-0.0982
232;8.8049;13.3227;-0.0782
233;9.0133;13.4481;-0.0349
234;9.2204;13.5617;0.0215
235;9.5146;13.5045;-0.0105
236;9.7942;13.5010;-0.0400
237;10.0663;13.4940;-0.0733
238;10.3455;13.4935;-0.1154
239;10.6118;13.5082;-0.1827
240;10.8704;13.5143;-0.2194
241;11.1209;13.5117;-0.2313
242;0.6705;17.7714;0.0879
243;0.9015;17.7208;0.0781
244;1.1431;17.6906;0.0742
245;1.3787;17.6404;0.0864
247;9.3193;13.3577;-0.0603
248;9.6129;13.3220;-0.0836
249;9.8898;13.3057;-0.1120
250;10.1672;13.2903;-0.1183
251;10.4421;13.2893;-0.1785
252;10.7039;13.2887;-0.2155
253;10.9520;13.2807;-0.2325
254;11.1639;13.2770;-0.2141
255;0.7080;17.5432;0.0860
256;0.9761;17.4951;0.0805
257;1.2330;17.4480;0.0792
258;1.4798;17.3910;0.0726
259;1.7393;17.3615;0.0552
260;8.9836;13.2139;-0.0895
261;9.1942;13.1831;-0.0974
262;9.4544;13.1343;-0.1212
263;9.7281;13.1115;-0.1401
264;10.0040;13.0953;-0.1543
265;10.2814;13.0802;-0.1852
266;10.5544;13.0681;-0.2134
267;10.8236;13.0561;-0.2313
268;11.0957;13.0396;-0.2204
269;0.6254;17.3236;0.0972
270;0.8449;17.2913;0.0875
271;1.0959;17.2511;0.0815
272;1.3508;17.2028;0.0679
273;1.6205;17.1619;0.0561
274;1.8981;17.1424;0.0439
275;8.8071;13.0598;-0.1128
276;9.0554;12.9809;-0.1219
277;9.3091;12.9390;-0.1363
278;9.5774;12.9063;-0.1573
279;9.8515;12.8816;-0.1692
280;10.1291;12.8640;-0.1897
281;10.4044;12.8492;-0.2092
282;10.6717;12.8333;-0.2275
283;10.9268;12.8196;-0.2252
284;11.1538;12.7868;-0.1916
285;0.6945;17.0750;0.0974
286;0.9583;17.0461;0.0847
287;1.2224;17.0028;0.0765
288;1.4873;16.9610;0.0645
289;1.7617;16.9259;0.0521
290;2.0300;16.9046;0.0422
291;2.2658;16.8111;0.0315
292;8.4006;12.8340;-0.1015
293;8.6231;12.8891;-0.1163
294;8.8926;12.8059;-0.1283
295;9.1630;12.7418;-0.1460
296;9.4310;12.7021;-0.1625
297;9.7042;12.6710;-0.1785
298;9.9808;12.6476;-0.1918
299;10.2570;12.6291;-0.2038
300;10.5300;12.6112;-0.2209
301;10.7983;12.5928;-0.2277
302;11.0593;12.5756;-0.2024
303;0.6319;16.8326;0.1010
304;0.8509;16.8302;0.0930
305;1.0950;16.7933;0.0821
306;1.3549;16.7540;0.0720
307;1.6232;16.7160;0.0604
308;1.8930;16.6806;0.0493
309;2.1524;16.6204;0.0383
310;2.4308;16.5530;0.0267
311;8.2413;12.6638;-0.0925
312;8.5066;12.6269;-0.1110
313;8.7507;12.6091;-0.1234
314;9.0178;12.5473;-0.1382
315;9.2884;12.4939;-0.1563
316;9.5592;12.4586;-0.1749
317;9.8354;12.4306;-0.1900
318;10.1117;12.4082;-0.2019
319;10.3870;12.3880;-0.2157
320;10.6582;12.3691;-0.2296
321;10.9188;12.3539;-0.2332
322;11.1611;12.3536;-0.1777
323;0.7166;16.6163;0.0970
324;0.9629;16.5816;0.0874
325;1.2188;16.5422;0.0790
326;1.4818;16.5048;0.0674
327;1.7511;16.4659;0.0559
328;2.0150;16.4171;0.0442
329;2.2797;16.3625;0.0345
330;2.5368;16.3139;0.0260
331;2.7464;16.2438;0.0169
332;8.0756;12.5004;-0.0787
333;8.3490;12.4275;-0.1001
