Index,Force [N],Crosshead [mm],epsX [%],epsY [%],epsXY []
1,1.216888,-0.246294,0,0,0
2,37.99057,0.151833,0.006205,0.003116,-0.000115
3,37.672043,0.152153,0.003447,0.005114,-0.000115
4,37.672043,-0.000702,0.001153,-0.00469,-0.000098
5,37.031174,-0.000383,-0.003191,-0.003085,-0.00012
6,38.949966,0.000257,0.002128,0.00373,-0.000146
7,43.107986,0.001856,0.003241,0.000147,-0.000166
8,49.503326,0.004734,0.00369,-0.002631,-0.000195
9,58.776855,0.008892,-0.002426,0.001109,-0.000235
10,70.289612,0.014967,0.004125,0.000763,-0.000292
11,83.400726,0.021042,0.000065,0.001213,-0.000362
12,92.033386,0.027439,-0.002444,-0.005186,-0.00043
13,105.78537,0.034473,0.001134,-0.004542,-0.000459
14,121.133804,0.040869,-0.00099,-0.001394,-0.000487
15,136.484146,0.047264,-0.001312,-0.000939,-0.000562
16,151.832581,0.0543,-0.00064,-0.001187,-0.000637
17,169.101715,0.061016,-0.000613,-0.001143,-0.000695
18,187.007904,0.06773,0.002279,-0.000971,-0.000762
19,205.236435,0.074446,-0.005529,-0.001851,-0.000851
20,226.02272,0.081482,-0.006179,-0.003925,-0.000944
21,246.168137,0.087236,-0.004684,-0.004172,-0.001035
22,268.55278,0.094273,-0.005042,-0.002736,-0.00114
23,290.616989,0.100988,-0.004368,-0.005588,-0.001217
24,313.961029,0.107704,-0.00547,-0.008054,-0.001318
25,338.5849,0.114418,-0.008352,-0.007564,-0.00142
26,362.888336,0.120813,-0.007902,-0.010273,-0.001542
27,388.790131,0.127529,-0.008995,-0.010784,-0.001631
28,414.691925,0.134565,-0.011072,-0.011795,-0.001751
29,440.593719,0.14064,-0.01154,-0.012874,-0.001859
30,468.095779,0.147676,-0.016199,-0.017336,-0.001975
31,495.595932,0.154072,-0.011933,-0.015113,-0.002096
32,523.736954,0.160788,-0.014405,-0.015287,-0.002206
33,551.877975,0.167501,-0.014535,-0.016749,-0.002326
34,580.657959,0.173899,-0.014617,-0.014958,-0.002463
35,608.798981,0.180933,-0.014092,-0.018797,-0.002569
36,637.25853,0.187328,-0.017226,-0.02039,-0.002706
37,666.358948,0.194044,-0.014597,-0.026078,-0.002833
38,695.459366,0.20076,-0.014257,-0.022186,-0.002958
39,724.239349,0.207476,-0.01417,-0.025042,-0.003062
40,753.660202,0.21419,-0.017712,-0.021664,-0.003209
41,782.119751,0.220905,-0.019131,-0.027838,-0.003378
42,810.899734,0.227621,-0.01833,-0.036266,-0.003479
43,840.320587,0.234016,-0.020389,-0.027965,-0.003639
44,869.100571,0.241051,-0.017651,-0.029698,-0.00377
45,897.56012,0.247448,-0.017057,-0.027182,-0.003902
46,926.340103,0.254162,-0.01978,-0.032681,-0.004061
47,955.121994,0.260878,-0.019178,-0.034706,-0.004195
48,982.301712,0.267273,-0.016696,-0.034221,-0.00432
49,1010.763168,0.273989,-0.017979,-0.036521,-0.004466
50,1038.263321,0.280704,-0.020911,-0.036697,-0.004628
51,1064.805984,0.28742,-0.023416,-0.036603,-0.004769
52,1091.98761,0.294136,-0.026002,-0.046322,-0.004866
53,1118.848801,0.30085,-0.01542,-0.034859,-0.005081
54,1145.389557,0.307566,-0.027573,-0.039521,-0.005319
55,1171.611786,0.314602,-0.021493,-0.045996,-0.005428
56,1197.834015,0.320997,-0.0226,-0.042998,-0.005538
57,1223.735809,0.327393,-0.017568,-0.044155,-0.005702
58,1248.680115,0.333788,-0.016782,-0.043994,-0.005851
59,1272.983551,0.340822,-0.022847,-0.047417,-0.006039
60,1296.646118,0.347538,-0.020121,-0.047389,-0.006184
61,1319.669724,0.353933,-0.022507,-0.045083,-0.006361
62,1343.013763,0.360649,-0.021764,-0.04858,-0.006518
63,1366.039276,0.367365,-0.022867,-0.050152,-0.006684
64,1388.103485,0.374081,-0.025267,-0.050123,-0.006849
65,1409.849167,0.380156,-0.030935,-0.053694,-0.007012
66,1431.592941,0.38751,-0.028262,-0.056309,-0.007168
67,1452.699661,0.393908,-0.022203,-0.053975,-0.007361
68,1473.165512,0.400942,-0.01683,-0.053015,-0.007481
69,1493.310928,0.407658,-0.027864,-0.058838,-0.007692
70,1513.458252,0.414053,-0.028177,-0.068475,-0.007767
71,1532.644272,0.420448,-0.025219,-0.055352,-0.008002
72,1551.19133,0.427164,-0.022623,-0.056188,-0.008221
73,1569.419861,0.43388,-0.035407,-0.075014,-0.008483
74,1587.966919,0.440275,-0.033015,-0.090145,-0.008851
75,1604.915619,0.447309,-0.030089,-0.064012,-0.00873
76,1622.182846,0.454025,-0.025463,-0.069194,-0.008967
77,1639.770508,0.460421,-0.037103,-0.075458,-0.009244
78,1655.759811,0.467457,-0.032004,-0.067432,-0.009318
79,1671.749115,0.473852,-0.03618,-0.070111,-0.009529
