# Units: length:mm angle:deg time:s force:N 
# Stage: Stufe 814
stage;index;relative_time;date
"Stufe 814";814;568.3473;"2024-02-28T14:09:04.761"
# Name : Analogeingang 0
force;untransformed;transformed
26156.6849;6.5392;26156.6849
# Name : Flächenkomponente 1
id;x;y;z
0;-0.0163;136.9673;-0.1539
1;1.1130;137.6507;-0.1661
2;2.5286;137.6659;-0.1825
3;3.9459;137.6837;-0.2035
4;5.3633;137.6990;-0.2210
5;6.7819;137.7143;-0.2367
6;8.2008;137.7301;-0.2570
7;9.6240;137.7463;-0.2740
8;11.0466;137.7638;-0.2946
9;12.4685;137.7791;-0.3092
10;13.8933;137.7954;-0.3282
11;15.3203;137.8127;-0.3493
12;16.7469;137.8292;-0.3677
13;18.1759;137.8466;-0.3853
14;19.6055;137.8638;-0.4014
15;21.0359;137.8678;-0.4246
16;21.8569;137.1380;-0.4360
17;21.8588;135.7308;-0.4321
18;21.8587;134.3247;-0.4291
19;21.8605;132.9184;-0.4233
20;21.8617;131.5127;-0.4291
21;21.8637;130.1049;-0.4294
22;21.8642;128.6995;-0.4299
23;21.8652;127.2921;-0.4266
24;21.8662;125.8866;-0.4199
25;21.8678;124.4787;-0.4261
26;21.8697;123.0739;-0.4249
27;21.8710;121.6685;-0.4252
28;21.8720;120.2620;-0.4236
29;21.8736;118.8552;-0.4228
30;21.8749;117.4478;-0.4211
31;21.8779;116.0409;-0.4256
32;21.8791;114.6348;-0.4213
33;21.8799;113.2287;-0.4177
34;21.8814;111.8216;-0.4190
35;21.8835;110.4154;-0.4181
36;21.8858;109.0084;-0.4217
37;21.8861;107.6023;-0.4172
38;21.8901;106.1959;-0.4214
39;21.8915;104.7899;-0.4170
40;21.8933;103.3820;-0.4154
41;21.8946;101.9751;-0.4145
42;21.8989;100.5713;-0.4212
43;21.9001;99.1641;-0.4173
44;21.9000;97.7568;-0.4144
45;21.9037;96.3506;-0.4100
46;21.9068;94.9433;-0.4178
47;21.9075;93.5384;-0.4076
48;21.9116;92.1337;-0.4105
49;21.9118;90.7273;-0.4085
50;21.9155;89.3193;-0.4076
51;21.9174;87.9128;-0.4057
52;21.9194;86.5070;-0.4056
53;21.9220;85.1015;-0.4092
54;21.9240;83.6956;-0.4090
55;21.9284;82.2887;-0.4114
56;21.9296;80.8832;-0.4089
57;21.9334;79.4770;-0.4082
