'Index';'Force [N]';'Crosshead [mm]';'epsXX [%]';'epsYY [%]'
1;9,567261;31,703300;0,000000;0,000000
2;4,447937;31,703300;0,003105;-0,002351
3;91,529846;31,716108;0,002675;0,003252
4;90,255737;31,712914;0,004559;0,002719
5;90,255737;-0,004053;0,008037;0,002557
6;92,811584;-0,004053;0,000206;0,002414
7;101,776123;-0,002451;-0,000093;0,001329
8;123,550415;-0,000849;-0,001319;0,001966
9;158,134460;0,002356;0,001642;0,004447
10;202,957153;0,008755;0,001193;0,007217
11;258,026123;0,015163;0,000047;0,008949
12;315,658569;0,023165;-0,000068;0,012745
13;374,572754;0,029573;-0,002364;0,014909
14;427,078247;0,034370;-0,002605;0,017821
15;482,154846;0,042372;-0,007519;0,018002
16;529,541016;0,050383;0,003607;0,019745
17;576,927185;0,055180;0,001431;0,023406
18;624,313354;0,061588;-0,002048;0,023547
19;666,572571;0,067987;0,000105;0,026860
20;710,121155;0,074396;-0,000792;0,027031
21;751,106262;0,080795;0,001210;0,029106
22;786,964417;0,088806;0,000731;0,030804
23;826,667786;0,093603;-0,000027;0,032572
24;861,244202;0,100012;-0,002726;0,034154
25;895,820618;0,108013;0,001531;0,035051
26;927,841187;0,114412;0,000914;0,034643
27;957,298279;0,119219;0,002122;0,037664
28;989,318848;0,127220;0,002393;0,038581
29;1018,775940;0,135231;-0,002883;0,039683
30;1046,951294;0,140028;0,001027;0,041262
31;1076,408386;0,146437;0,000871;0,042796
32;1099,456787;0,154438;0,000865;0,043754
33;1126,350403;0,160847;-0,001471;0,045005
34;1146,842957;0,167246;-0,001920;0,046798
35;1171,180725;0,175247;-0,001129;0,046775
36;1190,391541;0,181656;0,001676;0,045645
37;1210,876465;0,189657;0,001652;0,045724
38;1232,650757;0,196066;0,001128;0,050824
39;1255,706787;0,202465;0,001197;0,049772
40;1273,635864;0,207272;-0,000298;0,050508
41;1292,846680;0,215273;0,000740;0,050368
42;1312,057495;0,221682;-0,001472;0,052296
43;1332,550049;0,226479;0,000046;0,052786
44;1351,760864;0,234480;-0,001233;0,054783
45;1368,408203;0,240889;-0,003204;0,054083
46;1383,773804;0,247288;-0,002968;0,053455
47;1401,710510;0,255299;-0,000131;0,056481
48;1415,794373;0,263300;-0,001154;0,056802
49;1432,441711;0,268106;0,001182;0,055810
50;1446,533203;0,276108;-0,000573;0,056976
51;1460,617065;0,282507;0,000129;0,056553
52;1477,272034;0,288916;0,000818;0,057828
53;1490,074158;0,295315;0,003391;0,059295
54;1504,165649;0,298519;0,001847;0,059132
55;1518,249512;0,308123;0,000110;0,059740
56;1531,059265;0,314531;0,002000;0,060913
57;1543,869019;0,322533;-0,000360;0,060841
58;1556,671143;0,328941;-0,002375;0,060276
59;1568,199158;0,333738;-0,001407;0,061414
60;1581,008911;0,341740;-0,001607;0,061177
61;1591,255188;0,348148;-0,000888;0,061537
62;1598,937988;0,352955;-0,002249;0,062289
63;1605,339050;0,360956;-0,001351;0,062277
64;1611,747742;0,370560;-0,001932;0,062674
65;1615,585327;0,375366;0,000973;0,062941
66;1620,712280;0,381765;0,001881;0,062612
67;1625,831604;0,388174;-0,004980;0,060698
68;1630,958557;0,394573;-0,005045;0,062222
69;1636,077881;0,400982;-0,002530;0,063014
70;1636,077881;0,407381;0,000243;0,063472
71;1637,359619;0,413780;-0,000693;0,063209
72;1638,641357;0,420189;-0,000961;0,063120
73;1637,359619;0,428190;0,001361;0,063380
74;1637,359619;0,434599;-0,000493;0,062979
75;1637,359619;0,439396;-0,004246;0,061895
76;1637,359619;0,450602;-0,001431;0,062513
77;1637,359619;0,455408;-0,002548;0,062685
78;1636,077881;0,463409;-0,002303;0,063273
79;1636,077881;0,468216;-0,004248;0,061066
80;1636,077881;0,476217;-0,004128;0,063735
81;1636,077881;0,481024;-0,003112;0,061319
82;1637,359619;0,490627;-0,003909;0,061629
83;1636,077881;0,495434;-0,000920;0,062314
84;1636,077881;0,501833;-0,001020;0,063299
85;1641,204834;0,509834;-0,000423;0,065056
86;1647,605896;0,516243;-0,001970;0,063972
87;1655,288696;0,521040;0,000204;0,064114
88;1666,816711;0,529051;-0,001002;0,064576
89;1671,936035;0,533848;-0,000252;0,064674
